user_id,signup_date,target_exam,engagement_level,_skill_quant,_skill_lr,_skill_va,_skill_di
U00418,2025-08-21,SSC,high,0.337,0.31,0.617,0.671
U00419,2025-12-28,Placements,medium,0.518,0.599,0.481,0.783
U00420,2025-06-14,CAT,medium,0.358,0.57,0.261,0.591
U00421,2026-06-25,Placements,high,0.506,0.706,0.558,0.77
U00422,2025-08-05,Placements,high,0.194,0.567,0.351,0.479
U00423,2026-04-20,Banking,low,0.628,0.509,0.409,0.776
U00424,2026-05-03,Placements,high,0.687,0.581,0.592,0.83
U00425,2025-12-14,Placements,medium,0.589,0.59,0.383,0.95
U00426,2026-06-14,Placements,low,0.462,0.714,0.296,0.518
U00427,2025-07-04,Placements,low,0.525,0.52,0.442,0.557
U00428,2025-08-02,SSC,low,0.473,0.724,0.645,0.517
U00429,2026-03-15,Placements,medium,0.791,0.631,0.525,0.629
U00430,2026-01-10,Placements,low,0.709,0.625,0.511,0.419
U00431,2026-02-18,CAT,low,0.705,0.602,0.81,0.76
U00432,2025-06-11,Placements,medium,0.92,0.439,0.699,0.231
U00433,2026-06-14,Placements,medium,0.494,0.359,0.801,0.416
U00434,2025-07-31,Banking,low,0.29,0.735,0.547,0.821
U00435,2025-06-14,Placements,high,0.514,0.509,0.69,0.684
U00436,2026-04-07,CAT,medium,0.623,0.67,0.643,0.699
U00437,2025-09-21,CAT,medium,0.731,0.751,0.751,0.391
U00438,2026-01-10,Placements,low,0.394,0.496,0.673,0.42
U00439,2025-06-02,CAT,high,0.655,0.588,0.782,0.627
U00440,2026-03-28,SSC,high,0.185,0.705,0.771,0.539
U00441,2026-04-29,SSC,low,0.445,0.95,0.409,0.717
U00442,2025-07-05,SSC,medium,0.381,0.531,0.676,0.605
U00443,2026-03-29,Placements,medium,0.449,0.709,0.25,0.449
U00444,2025-10-21,CAT,medium,0.459,0.222,0.805,0.795
U00445,2026-03-20,CAT,medium,0.526,0.651,0.601,0.288
U00446,2025-06-02,CAT,high,0.694,0.451,0.1,0.586
U00447,2026-03-12,CAT,medium,0.269,0.756,0.498,0.564
U00448,2025-07-05,Banking,medium,0.444,0.753,0.53,0.348
U00449,2026-05-01,Banking,medium,0.546,0.573,0.56,0.812
U00450,2026-01-26,CAT,medium,0.55,0.7,0.268,0.616
U00451,2025-06-26,CAT,medium,0.552,0.392,0.261,0.943
U00452,2025-06-26,Placements,medium,0.352,0.564,0.481,0.491
U00453,2025-09-09,Placements,low,0.795,0.492,0.68,0.218
U00454,2025-08-09,Placements,high,0.723,0.662,0.606,0.633
U00455,2026-02-11,CAT,medium,0.633,0.521,0.568,0.702
U00456,2026-05-20,SSC,medium,0.389,0.468,0.477,0.572
U00457,2025-12-25,SSC,medium,0.62,0.517,0.553,0.605
U00458,2026-05-08,SSC,high,0.1,0.514,0.832,0.756
U00459,2025-08-26,Placements,high,0.698,0.759,0.349,0.539
U00460,2026-02-26,CAT,medium,0.577,0.56,0.446,0.576
U00461,2025-06-13,CAT,medium,0.429,0.158,0.553,0.829
U00462,2025-11-24,CAT,low,0.258,0.596,0.707,0.404
U00463,2026-05-09,CAT,low,0.773,0.298,0.468,0.833
U00464,2026-05-08,CAT,low,0.582,0.95,0.349,0.686
U00465,2026-05-20,CAT,medium,0.458,0.634,0.451,0.574
U00466,2026-02-24,CAT,low,0.316,0.321,0.458,0.66
U00467,2026-01-23,Placements,low,0.346,0.736,0.795,0.641
U00468,2026-01-25,Placements,high,0.657,0.836,0.743,0.733
U00469,2026-02-07,CAT,medium,0.252,0.423,0.524,0.422
U00470,2026-02-09,CAT,high,0.729,0.299,0.737,0.59
U00471,2025-06-26,Banking,medium,0.842,0.693,0.573,0.575
U00472,2025-07-14,Placements,low,0.66,0.484,0.652,0.634
U00473,2025-10-21,CAT,medium,0.763,0.503,0.493,0.655
U00474,2026-05-10,CAT,low,0.482,0.1,0.62,0.597
U00475,2026-03-29,Placements,low,0.307,0.759,0.563,0.209
U00476,2026-01-24,Placements,high,0.447,0.596,0.596,0.731
U00477,2025-08-08,CAT,high,0.634,0.645,0.481,0.397
U00478,2026-05-24,Placements,medium,0.699,0.514,0.539,0.388
U00479,2025-12-15,Placements,medium,0.629,0.256,0.671,0.848
U00480,2026-02-15,CAT,medium,0.516,0.774,0.342,0.472
U00481,2025-08-06,CAT,high,0.65,0.612,0.457,0.471
U00482,2025-07-22,CAT,medium,0.289,0.489,0.285,0.476
U00483,2025-07-24,Placements,high,0.43,0.735,0.242,0.557
U00484,2026-03-16,Placements,high,0.452,0.409,0.176,0.61
U00485,2025-11-19,CAT,medium,0.434,0.735,0.642,0.763
U00486,2026-01-05,Banking,medium,0.393,0.587,0.584,0.461
U00487,2026-04-28,Placements,high,0.916,0.675,0.886,0.882
U00488,2026-05-02,Banking,low,0.462,0.285,0.854,0.675
U00489,2026-07-01,SSC,high,0.621,0.733,0.669,0.44
U00490,2026-06-12,CAT,medium,0.828,0.572,0.672,0.701
U00491,2026-04-04,Placements,low,0.541,0.894,0.749,0.605
U00492,2025-12-23,Placements,medium,0.534,0.298,0.1,0.443
U00493,2025-11-04,CAT,high,0.605,0.642,0.53,0.318
U00494,2026-01-09,Placements,high,0.528,0.358,0.803,0.523
U00495,2025-06-15,CAT,high,0.345,0.361,0.551,0.56
U00496,2026-02-07,CAT,high,0.377,0.731,0.533,0.705
U00497,2026-01-17,CAT,medium,0.405,0.847,0.536,0.472
U00498,2025-09-12,CAT,medium,0.523,0.309,0.417,0.198
U00499,2026-04-22,CAT,medium,0.614,0.492,0.635,0.377
U00500,2025-11-10,Banking,low,0.513,0.549,0.442,0.274
U00501,2026-04-01,CAT,high,0.509,0.673,0.817,0.467
U00502,2025-12-03,CAT,low,0.521,0.889,0.478,0.437
U00503,2025-12-17,CAT,medium,0.428,0.297,0.837,0.649
U00504,2026-05-23,Placements,low,0.553,0.249,0.386,0.487
U00505,2026-03-16,Banking,high,0.376,0.222,0.39,0.515
U00506,2026-05-18,Placements,low,0.836,0.429,0.668,0.374
U00507,2025-07-28,CAT,medium,0.51,0.544,0.838,0.1
U00508,2026-03-31,CAT,medium,0.625,0.338,0.543,0.552
U00509,2025-08-25,Placements,low,0.524,0.423,0.659,0.504
U00510,2025-08-16,CAT,high,0.497,0.676,0.458,0.556
U00511,2025-06-19,SSC,low,0.45,0.581,0.565,0.408
U00512,2025-11-29,Placements,high,0.754,0.609,0.656,0.253
U00513,2025-08-01,Placements,low,0.524,0.573,0.344,0.291
U00514,2025-09-13,Placements,high,0.45,0.561,0.674,0.645
U00515,2025-12-06,Placements,medium,0.738,0.526,0.85,0.354
U00516,2025-12-23,CAT,low,0.424,0.1,0.491,0.771
U00517,2025-10-01,Placements,low,0.498,0.517,0.49,0.421
U00518,2026-06-09,CAT,low,0.429,0.681,0.446,0.579
U00519,2026-03-19,Placements,low,0.415,0.563,0.253,0.909
U00520,2026-06-14,CAT,low,0.683,0.519,0.475,0.309
U00521,2026-05-06,Placements,medium,0.925,0.513,0.142,0.721
U00522,2026-01-22,CAT,low,0.37,0.569,0.803,0.494
U00523,2025-10-23,Banking,medium,0.513,0.718,0.807,0.525
U00524,2026-06-10,Placements,low,0.388,0.464,0.74,0.591
U00525,2026-02-27,CAT,medium,0.281,0.643,0.48,0.733
U00526,2026-07-06,CAT,low,0.542,0.44,0.453,0.569
U00527,2026-05-10,Placements,medium,0.643,0.767,0.506,0.655
U00528,2026-04-09,Placements,high,0.552,0.676,0.76,0.435
U00529,2025-08-29,Placements,medium,0.627,0.687,0.433,0.937
U00530,2025-11-28,CAT,low,0.309,0.86,0.526,0.38
U00531,2025-06-23,CAT,medium,0.663,0.681,0.605,0.421
U00532,2025-06-25,Placements,low,0.236,0.515,0.342,0.815
U00533,2026-02-09,CAT,high,0.524,0.836,0.706,0.456
U00534,2025-11-30,CAT,high,0.801,0.271,0.578,0.486
U00535,2025-07-25,CAT,low,0.306,0.695,0.139,0.419
U00536,2026-01-04,Placements,high,0.947,0.421,0.406,0.425
U00537,2026-01-26,Placements,high,0.471,0.607,0.621,0.291
U00538,2026-06-18,SSC,medium,0.529,0.437,0.27,0.588
U00539,2025-10-15,SSC,low,0.1,0.468,0.389,0.87
U00540,2026-06-05,Placements,low,0.489,0.26,0.542,0.664
U00541,2026-02-24,Placements,low,0.467,0.688,0.568,0.915
U00542,2025-12-31,Placements,medium,0.514,0.449,0.271,0.573
U00543,2026-04-24,CAT,medium,0.879,0.527,0.734,0.516
U00544,2026-01-29,Banking,high,0.598,0.526,0.811,0.664
U00545,2025-09-05,Placements,low,0.573,0.751,0.338,0.934
U00546,2025-12-03,Placements,low,0.685,0.783,0.366,0.465
U00547,2026-03-05,CAT,low,0.733,0.652,0.471,0.505
U00548,2025-08-01,CAT,low,0.249,0.487,0.672,0.502
U00549,2026-03-10,Placements,low,0.282,0.758,0.616,0.771
U00550,2025-08-06,CAT,low,0.489,0.836,0.356,0.498
U00551,2026-06-10,Placements,medium,0.591,0.775,0.618,0.518
U00552,2025-07-28,Placements,medium,0.549,0.536,0.484,0.702
U00553,2026-02-06,Placements,high,0.627,0.452,0.61,0.449
U00554,2026-06-08,Banking,low,0.579,0.804,0.763,0.713
U00555,2026-02-10,CAT,high,0.546,0.711,0.435,0.287
U00556,2025-10-13,Banking,high,0.599,0.482,0.871,0.844
U00557,2026-02-16,CAT,low,0.195,0.611,0.606,0.371
U00558,2026-01-17,Placements,low,0.703,0.584,0.819,0.274
U00559,2025-10-23,CAT,high,0.638,0.599,0.627,0.433
U00560,2026-02-11,CAT,medium,0.207,0.413,0.803,0.438
U00561,2026-01-17,Banking,low,0.583,0.31,0.697,0.532
U00562,2026-04-07,Banking,medium,0.95,0.483,0.726,0.48
U00563,2025-10-01,Placements,medium,0.319,0.803,0.69,0.466
U00564,2025-12-09,CAT,low,0.861,0.751,0.707,0.65
U00565,2026-04-11,Banking,high,0.741,0.503,0.223,0.687
U00566,2026-04-15,CAT,low,0.621,0.297,0.155,0.565
U00567,2026-05-08,CAT,high,0.654,0.416,0.674,0.675
U00568,2026-05-14,SSC,low,0.1,0.538,0.586,0.685
U00569,2025-11-18,Placements,high,0.567,0.503,0.743,0.334
U00570,2026-05-02,Placements,high,0.687,0.522,0.762,0.418
U00571,2026-03-09,Placements,high,0.304,0.785,0.253,0.617
U00572,2025-11-05,CAT,medium,0.609,0.872,0.755,0.574
U00573,2025-09-19,SSC,medium,0.354,0.468,0.529,0.1
U00574,2026-03-02,SSC,low,0.724,0.579,0.273,0.564
U00575,2025-09-29,SSC,medium,0.528,0.427,0.48,0.555
U00576,2025-12-08,CAT,low,0.659,0.64,0.499,0.904
U00577,2025-12-15,SSC,low,0.327,0.304,0.622,0.68
U00578,2026-04-06,Banking,high,0.489,0.639,0.41,0.546
U00579,2026-03-24,Placements,medium,0.403,0.369,0.559,0.587
U00580,2026-03-30,Placements,low,0.61,0.95,0.715,0.198
U00581,2026-01-27,Banking,medium,0.477,0.515,0.492,0.327
U00582,2026-06-20,CAT,low,0.684,0.53,0.721,0.432
U00583,2025-08-03,CAT,low,0.271,0.504,0.845,0.825
U00584,2025-08-30,Placements,medium,0.868,0.506,0.457,0.722
U00585,2025-11-27,CAT,low,0.538,0.643,0.443,0.519
U00586,2025-08-14,Placements,medium,0.517,0.7,0.655,0.643
U00587,2026-07-01,CAT,medium,0.399,0.908,0.548,0.515
U00588,2025-06-19,CAT,high,0.823,0.768,0.507,0.338
U00589,2025-07-12,SSC,high,0.233,0.361,0.608,0.523
U00590,2026-04-10,SSC,medium,0.381,0.479,0.859,0.752
U00591,2025-09-11,Placements,low,0.695,0.677,0.814,0.552
U00592,2025-07-02,Placements,high,0.409,0.388,0.548,0.564
U00593,2026-05-23,CAT,medium,0.599,0.299,0.783,0.306
U00594,2025-12-12,SSC,medium,0.882,0.236,0.762,0.364
U00595,2025-10-09,CAT,medium,0.686,0.284,0.586,0.803
U00596,2026-01-05,Banking,medium,0.757,0.616,0.251,0.567
U00597,2026-04-24,Banking,medium,0.477,0.632,0.583,0.191
U00598,2026-03-23,CAT,high,0.684,0.41,0.683,0.64
U00599,2025-08-03,CAT,high,0.623,0.708,0.716,0.362
U00600,2025-08-16,SSC,high,0.418,0.816,0.709,0.665
