question_id,section,subtopic,difficulty_tag,exam_tags,_true_correct_prob
Q02094,Data Interpretation,Pie Charts,Easy,"Placements,CAT",0.801
Q02095,Logical Reasoning,Venn Diagrams,Medium,Banking,0.483
Q02096,Logical Reasoning,Input-Output,Easy,"TCS NQT,Banking,SSC",0.691
Q02097,Quantitative Aptitude,Number System,Hard,"Banking,TCS NQT,CAT",0.305
Q02098,Quantitative Aptitude,Algebra,Easy,"TCS NQT,Banking",0.807
Q02099,Verbal Ability,Fill in the Blanks,Easy,"CAT,Banking,General",0.812
Q02100,Quantitative Aptitude,Partnership,Hard,"Placements,SSC,Banking",0.337
Q02101,Data Interpretation,Venn-based DI,Easy,"SSC,Placements,General",0.705
Q02102,Logical Reasoning,Data Sufficiency,Easy,"Placements,Banking",0.816
Q02103,Logical Reasoning,Seating Arrangement,Hard,"Placements,SSC,TCS NQT",0.257
Q02104,Verbal Ability,Reading Comprehension,Easy,"TCS NQT,Banking",0.8
Q02105,Data Interpretation,Tables,Medium,"General,CAT,TCS NQT",0.524
Q02106,Verbal Ability,Verbal Analogies,Easy,"SSC,CAT",0.774
Q02107,Verbal Ability,Verbal Analogies,Easy,"Banking,General,Placements",0.781
Q02108,Data Interpretation,Mixed DI Sets,Hard,General,0.201
Q02109,Quantitative Aptitude,Mixtures & Alligations,Medium,"SSC,Banking,General",0.552
Q02110,Logical Reasoning,Series Completion,Hard,"Banking,SSC",0.24
Q02111,Data Interpretation,Venn-based DI,Medium,"General,TCS NQT",0.598
Q02112,Verbal Ability,Synonyms & Antonyms,Easy,General,0.799
Q02113,Quantitative Aptitude,Partnership,Medium,"Placements,TCS NQT,Banking",0.516
Q02114,Quantitative Aptitude,"Time, Speed & Distance",Medium,"General,Banking,SSC",0.519
Q02115,Quantitative Aptitude,Set Theory,Easy,"TCS NQT,Banking,CAT",0.834
Q02116,Data Interpretation,Venn-based DI,Medium,SSC,0.519
Q02117,Logical Reasoning,Cubes & Dice,Hard,Placements,0.27
Q02118,Quantitative Aptitude,Compound Interest,Easy,"General,SSC,Banking",0.768
Q02119,Logical Reasoning,Input-Output,Hard,"CAT,Placements",0.233
Q02120,Data Interpretation,Data Sufficiency (DI),Easy,"SSC,Placements",0.888
Q02121,Quantitative Aptitude,Averages,Medium,"TCS NQT,Placements,Banking",0.528
Q02122,Logical Reasoning,Statement & Assumption,Medium,Placements,0.556
Q02123,Verbal Ability,Sentence Correction,Medium,Placements,0.519
Q02124,Logical Reasoning,Clocks & Calendars,Easy,"Banking,TCS NQT",0.786
Q02125,Data Interpretation,Data Sufficiency (DI),Medium,"General,CAT",0.605
Q02126,Logical Reasoning,Series Completion,Easy,SSC,0.763
Q02127,Verbal Ability,Synonyms & Antonyms,Hard,SSC,0.284
Q02128,Logical Reasoning,Statement & Conclusion,Medium,"TCS NQT,Placements,CAT",0.556
Q02129,Quantitative Aptitude,Pipes & Cisterns,Easy,"CAT,General",0.792
Q02130,Logical Reasoning,Seating Arrangement,Easy,"TCS NQT,SSC",0.882
Q02131,Verbal Ability,Para Jumbles,Medium,"SSC,CAT",0.648
Q02132,Verbal Ability,Para Summary,Hard,"Placements,General,CAT",0.323
Q02133,Logical Reasoning,Puzzles,Medium,"General,TCS NQT,SSC",0.557
Q02134,Quantitative Aptitude,Trigonometry,Easy,Placements,0.821
Q02135,Verbal Ability,Verbal Analogies,Medium,SSC,0.531
Q02136,Quantitative Aptitude,Algebra,Medium,"General,Banking,Placements",0.654
Q02137,Quantitative Aptitude,Geometry,Medium,Placements,0.44
Q02138,Verbal Ability,Para Jumbles,Hard,Placements,0.38
Q02139,Verbal Ability,Critical Reasoning,Easy,"Banking,SSC",0.808
Q02140,Data Interpretation,Bar Graphs,Hard,"TCS NQT,SSC",0.231
Q02141,Verbal Ability,Error Spotting,Easy,SSC,0.747
Q02142,Quantitative Aptitude,Probability,Easy,"Banking,Placements",0.673
Q02143,Data Interpretation,Caselets,Easy,SSC,0.789
Q02144,Data Interpretation,Radar/Spider Charts,Medium,"SSC,General,CAT",0.543
Q02145,Verbal Ability,Cloze Test,Hard,"CAT,General,Placements",0.36
Q02146,Quantitative Aptitude,Averages,Easy,"Banking,SSC,TCS NQT",0.724
Q02147,Verbal Ability,Cloze Test,Medium,TCS NQT,0.488
Q02148,Logical Reasoning,Statement & Assumption,Easy,"Banking,CAT",0.725
Q02149,Quantitative Aptitude,Quadratic Equations,Easy,"SSC,CAT",0.838
Q02150,Quantitative Aptitude,Ratio & Proportion,Easy,"Placements,General",0.769
Q02151,Logical Reasoning,Cubes & Dice,Hard,"SSC,Banking,CAT",0.291
Q02152,Logical Reasoning,Statement & Conclusion,Medium,Banking,0.544
Q02153,Logical Reasoning,Analogy,Hard,"Banking,SSC,General",0.292
Q02154,Quantitative Aptitude,Simple Interest,Hard,General,0.425
Q02155,Logical Reasoning,Statement & Conclusion,Easy,"CAT,SSC,Banking",0.738
Q02156,Logical Reasoning,Venn Diagrams,Medium,"General,CAT",0.598
Q02157,Logical Reasoning,Syllogisms,Hard,"General,Placements,Banking",0.282
Q02158,Logical Reasoning,Direction Sense,Medium,Banking,0.466
Q02159,Verbal Ability,Sentence Correction,Medium,"SSC,General,CAT",0.501
Q02160,Data Interpretation,Pie Charts,Medium,Placements,0.57
Q02161,Verbal Ability,Idioms & Phrases,Easy,"General,Placements,Banking",0.797
Q02162,Data Interpretation,Mixed DI Sets,Medium,"Banking,Placements",0.477
Q02163,Data Interpretation,Caselets,Medium,General,0.498
Q02164,Verbal Ability,Verbal Analogies,Easy,"SSC,Placements",0.799
Q02165,Data Interpretation,Pie Charts,Hard,"SSC,Placements",0.302
Q02166,Verbal Ability,Para Summary,Medium,"TCS NQT,Placements",0.585
Q02167,Quantitative Aptitude,Number System,Medium,TCS NQT,0.55
Q02168,Quantitative Aptitude,Set Theory,Easy,"General,Placements,CAT",0.773
Q02169,Logical Reasoning,Cubes & Dice,Medium,SSC,0.517
Q02170,Logical Reasoning,Coding-Decoding,Easy,Banking,0.81
Q02171,Logical Reasoning,Input-Output,Medium,"SSC,Placements,CAT",0.632
Q02172,Quantitative Aptitude,Linear Equations,Medium,TCS NQT,0.57
Q02173,Logical Reasoning,Puzzles,Medium,General,0.609
Q02174,Quantitative Aptitude,Permutation & Combination,Easy,"Banking,General",0.877
Q02175,Quantitative Aptitude,Simple Interest,Hard,General,0.262
Q02176,Logical Reasoning,Series Completion,Medium,SSC,0.569
Q02177,Verbal Ability,Critical Reasoning,Easy,"Banking,General,Placements",0.82
Q02178,Quantitative Aptitude,Geometry,Easy,TCS NQT,0.786
Q02179,Data Interpretation,Tables,Medium,"General,Placements",0.541
Q02180,Quantitative Aptitude,Geometry,Easy,Banking,0.795
Q02181,Data Interpretation,Line Graphs,Medium,SSC,0.571
Q02182,Logical Reasoning,Statement & Conclusion,Easy,TCS NQT,0.811
Q02183,Logical Reasoning,Cubes & Dice,Hard,SSC,0.333
Q02184,Data Interpretation,Radar/Spider Charts,Easy,CAT,0.888
Q02185,Logical Reasoning,Analogy,Hard,SSC,0.274
Q02186,Quantitative Aptitude,Partnership,Easy,"General,Placements",0.672
Q02187,Quantitative Aptitude,Partnership,Hard,"General,Banking",0.284
Q02188,Verbal Ability,Error Spotting,Easy,"SSC,CAT,TCS NQT",0.711
Q02189,Logical Reasoning,Syllogisms,Medium,SSC,0.566
Q02190,Verbal Ability,Sentence Correction,Easy,"SSC,TCS NQT",0.848
Q02191,Data Interpretation,Bar Graphs,Easy,SSC,0.763
Q02192,Data Interpretation,Venn-based DI,Medium,"Banking,SSC,General",0.593
Q02193,Verbal Ability,Cloze Test,Easy,"Placements,TCS NQT",0.904
Q02194,Verbal Ability,Reading Comprehension,Easy,"Placements,SSC,General",0.75
Q02195,Data Interpretation,Venn-based DI,Hard,"SSC,Banking",0.339
Q02196,Logical Reasoning,Direction Sense,Medium,SSC,0.522
Q02197,Quantitative Aptitude,Partnership,Medium,"Banking,Placements,SSC",0.52
Q02198,Verbal Ability,Para Jumbles,Medium,"CAT,Placements",0.628
Q02199,Verbal Ability,Odd One Out,Easy,"General,SSC",0.793
Q02200,Quantitative Aptitude,Geometry,Easy,"SSC,TCS NQT",0.856
Q02201,Logical Reasoning,Statement & Conclusion,Hard,"SSC,Banking,Placements",0.369
Q02202,Quantitative Aptitude,Algebra,Medium,"Banking,Placements,General",0.516
Q02203,Data Interpretation,Bar Graphs,Medium,Placements,0.55
Q02204,Quantitative Aptitude,Percentages,Medium,Placements,0.476
Q02205,Verbal Ability,Reading Comprehension,Medium,"SSC,Placements",0.463
Q02206,Logical Reasoning,Cubes & Dice,Medium,"CAT,Banking",0.617
Q02207,Logical Reasoning,Syllogisms,Medium,"SSC,TCS NQT",0.484
Q02208,Verbal Ability,Odd One Out,Medium,"Banking,CAT",0.551
Q02209,Quantitative Aptitude,Pipes & Cisterns,Medium,CAT,0.502
Q02210,Logical Reasoning,Data Sufficiency,Easy,Placements,0.783
Q02211,Data Interpretation,Caselets,Easy,Placements,0.772
Q02212,Logical Reasoning,Statement & Conclusion,Medium,"General,TCS NQT,Placements",0.475
Q02213,Logical Reasoning,Blood Relations,Easy,"TCS NQT,Placements,Banking",0.803
Q02214,Quantitative Aptitude,Profit & Loss,Medium,Banking,0.463
Q02215,Logical Reasoning,Puzzles,Medium,"CAT,SSC",0.53
Q02216,Data Interpretation,Pie Charts,Hard,"SSC,TCS NQT",0.263
Q02217,Data Interpretation,Pie Charts,Easy,"Placements,CAT",0.795
Q02218,Quantitative Aptitude,Profit & Loss,Medium,"General,Banking",0.581
Q02219,Quantitative Aptitude,Mensuration,Medium,"SSC,TCS NQT,CAT",0.533
Q02220,Verbal Ability,Fill in the Blanks,Hard,General,0.196
Q02221,Verbal Ability,Verbal Analogies,Medium,"SSC,TCS NQT",0.554
Q02222,Quantitative Aptitude,Compound Interest,Easy,CAT,0.748
Q02223,Verbal Ability,Cloze Test,Hard,"SSC,CAT",0.32
Q02224,Data Interpretation,Pie Charts,Hard,"TCS NQT,Banking,CAT",0.279
Q02225,Quantitative Aptitude,Quadratic Equations,Hard,"Placements,General",0.328
Q02226,Quantitative Aptitude,Quadratic Equations,Easy,CAT,0.705
Q02227,Verbal Ability,Sentence Correction,Medium,Banking,0.512
Q02228,Verbal Ability,Para Summary,Easy,"General,Placements",0.77
Q02229,Verbal Ability,Para Jumbles,Easy,"Banking,General",0.778
Q02230,Logical Reasoning,Clocks & Calendars,Medium,"TCS NQT,Placements,SSC",0.489
Q02231,Quantitative Aptitude,Surds & Indices,Hard,SSC,0.293
Q02232,Logical Reasoning,Series Completion,Hard,"Banking,General",0.302
Q02233,Quantitative Aptitude,Trigonometry,Easy,"TCS NQT,General",0.829
Q02234,Logical Reasoning,Input-Output,Easy,Banking,0.871
Q02235,Quantitative Aptitude,Linear Equations,Medium,"Placements,Banking,TCS NQT",0.551
Q02236,Logical Reasoning,Seating Arrangement,Easy,TCS NQT,0.727
Q02237,Data Interpretation,Mixed DI Sets,Hard,"General,Placements",0.281
Q02238,Quantitative Aptitude,Set Theory,Medium,"General,Placements,Banking",0.56
Q02239,Quantitative Aptitude,Permutation & Combination,Hard,"General,TCS NQT,CAT",0.298
Q02240,Logical Reasoning,Clocks & Calendars,Medium,"Banking,CAT",0.488
Q02241,Quantitative Aptitude,Trigonometry,Medium,"Placements,General",0.579
Q02242,Quantitative Aptitude,Surds & Indices,Hard,"Placements,TCS NQT",0.283
Q02243,Verbal Ability,Para Summary,Easy,"TCS NQT,CAT",0.801
Q02244,Quantitative Aptitude,Probability,Medium,CAT,0.576
Q02245,Quantitative Aptitude,Permutation & Combination,Hard,TCS NQT,0.305
Q02246,Logical Reasoning,Input-Output,Hard,"CAT,Banking",0.284
Q02247,Quantitative Aptitude,Surds & Indices,Medium,"TCS NQT,SSC,General",0.644
Q02248,Quantitative Aptitude,Averages,Easy,"CAT,TCS NQT,General",0.792
Q02249,Quantitative Aptitude,Simple Interest,Medium,"General,Banking,Placements",0.565
Q02250,Quantitative Aptitude,Time & Work,Hard,"CAT,General",0.235
Q02251,Data Interpretation,Data Sufficiency (DI),Medium,"SSC,General,Banking",0.488
Q02252,Quantitative Aptitude,Surds & Indices,Easy,"TCS NQT,SSC",0.766
Q02253,Verbal Ability,Fill in the Blanks,Medium,Placements,0.543
Q02254,Verbal Ability,Synonyms & Antonyms,Medium,General,0.58
Q02255,Logical Reasoning,Statement & Conclusion,Easy,"CAT,Banking,General",0.719
Q02256,Verbal Ability,Reading Comprehension,Hard,"CAT,General",0.175
Q02257,Quantitative Aptitude,Time & Work,Easy,"Banking,General,TCS NQT",0.95
Q02258,Quantitative Aptitude,Surds & Indices,Medium,"TCS NQT,Banking,SSC",0.537
Q02259,Data Interpretation,Mixed DI Sets,Hard,"General,Banking,SSC",0.315
Q02260,Verbal Ability,Para Jumbles,Medium,Placements,0.538
Q02261,Logical Reasoning,Blood Relations,Hard,CAT,0.185
Q02262,Logical Reasoning,Blood Relations,Medium,"Placements,CAT,General",0.532
Q02263,Quantitative Aptitude,Trigonometry,Hard,"Placements,General,Banking",0.355
Q02264,Quantitative Aptitude,Set Theory,Medium,"Placements,CAT,SSC",0.622
Q02265,Quantitative Aptitude,Mensuration,Easy,Banking,0.678
Q02266,Logical Reasoning,Input-Output,Easy,CAT,0.834
Q02267,Logical Reasoning,Coding-Decoding,Easy,General,0.802
Q02268,Verbal Ability,Error Spotting,Easy,"Banking,General",0.813
Q02269,Quantitative Aptitude,Number System,Hard,"TCS NQT,Placements",0.27
Q02270,Verbal Ability,Sentence Correction,Easy,"TCS NQT,Banking",0.716
Q02271,Verbal Ability,Reading Comprehension,Medium,"CAT,General",0.538
Q02272,Quantitative Aptitude,Set Theory,Hard,"Banking,General,TCS NQT",0.294
Q02273,Verbal Ability,Error Spotting,Easy,"TCS NQT,General,SSC",0.809
Q02274,Logical Reasoning,Syllogisms,Medium,"Banking,General",0.529
Q02275,Logical Reasoning,Analogy,Easy,General,0.818
Q02276,Logical Reasoning,Syllogisms,Medium,"CAT,Banking,SSC",0.49
Q02277,Quantitative Aptitude,Probability,Hard,SSC,0.446
Q02278,Quantitative Aptitude,Set Theory,Easy,"Banking,CAT",0.75
Q02279,Quantitative Aptitude,Trigonometry,Medium,"General,SSC,Banking",0.581
Q02280,Logical Reasoning,Input-Output,Medium,Placements,0.501
Q02281,Logical Reasoning,Clocks & Calendars,Medium,"Placements,Banking,SSC",0.535
Q02282,Verbal Ability,Odd One Out,Medium,TCS NQT,0.518
Q02283,Quantitative Aptitude,Ratio & Proportion,Medium,"General,SSC,Banking",0.522
Q02284,Quantitative Aptitude,Compound Interest,Hard,"General,Banking",0.27
Q02285,Quantitative Aptitude,Geometry,Easy,"General,SSC,Banking",0.767
Q02286,Verbal Ability,Synonyms & Antonyms,Easy,"Placements,SSC,CAT",0.781
Q02287,Quantitative Aptitude,Surds & Indices,Medium,"Placements,General",0.614
Q02288,Logical Reasoning,Series Completion,Easy,TCS NQT,0.751
Q02289,Verbal Ability,Odd One Out,Easy,Banking,0.68
Q02290,Quantitative Aptitude,Trigonometry,Medium,"Placements,General",0.62
Q02291,Data Interpretation,Venn-based DI,Hard,CAT,0.226
Q02292,Quantitative Aptitude,Linear Equations,Easy,"SSC,Placements",0.884
Q02293,Logical Reasoning,Coding-Decoding,Medium,"CAT,General,SSC",0.539
Q02294,Logical Reasoning,Input-Output,Medium,TCS NQT,0.586
Q02295,Verbal Ability,Sentence Correction,Medium,TCS NQT,0.471
Q02296,Verbal Ability,Sentence Correction,Easy,"SSC,General",0.854
Q02297,Data Interpretation,Mixed DI Sets,Medium,TCS NQT,0.546
Q02298,Verbal Ability,Critical Reasoning,Easy,General,0.674
Q02299,Data Interpretation,Venn-based DI,Medium,"General,CAT,TCS NQT",0.505
Q02300,Logical Reasoning,Cubes & Dice,Medium,"CAT,General",0.531
Q02301,Logical Reasoning,Puzzles,Medium,"CAT,TCS NQT,General",0.575
Q02302,Logical Reasoning,Coding-Decoding,Hard,"CAT,Placements,SSC",0.296
Q02303,Quantitative Aptitude,Time & Work,Medium,"SSC,Banking,TCS NQT",0.59
Q02304,Data Interpretation,Pie Charts,Easy,General,0.706
Q02305,Quantitative Aptitude,Linear Equations,Hard,"Placements,CAT",0.332
Q02306,Logical Reasoning,Series Completion,Hard,"Banking,CAT",0.245
Q02307,Quantitative Aptitude,Ratio & Proportion,Easy,"SSC,General",0.832
Q02308,Logical Reasoning,Coding-Decoding,Easy,SSC,0.804
Q02309,Verbal Ability,Fill in the Blanks,Hard,"Banking,SSC,Placements",0.359
Q02310,Quantitative Aptitude,Compound Interest,Easy,"Banking,Placements,TCS NQT",0.82
Q02311,Verbal Ability,Para Summary,Easy,"Banking,General",0.805
Q02312,Logical Reasoning,Data Sufficiency,Medium,Banking,0.434
Q02313,Logical Reasoning,Direction Sense,Medium,General,0.612
Q02314,Verbal Ability,Idioms & Phrases,Easy,CAT,0.912
Q02315,Quantitative Aptitude,Algebra,Easy,"Banking,Placements",0.8
Q02316,Verbal Ability,Para Summary,Medium,Banking,0.473
Q02317,Verbal Ability,Reading Comprehension,Medium,"General,Placements,CAT",0.467
Q02318,Quantitative Aptitude,Set Theory,Easy,"General,TCS NQT,SSC",0.725
Q02319,Logical Reasoning,Input-Output,Hard,"General,TCS NQT",0.264
Q02320,Verbal Ability,Critical Reasoning,Medium,"General,SSC,TCS NQT",0.59
Q02321,Data Interpretation,Bar Graphs,Medium,"TCS NQT,General",0.528
Q02322,Verbal Ability,Synonyms & Antonyms,Medium,"Banking,General,Placements",0.653
Q02323,Quantitative Aptitude,Probability,Medium,"TCS NQT,Banking,SSC",0.618
Q02324,Verbal Ability,Cloze Test,Medium,"Placements,SSC",0.556
Q02325,Quantitative Aptitude,Profit & Loss,Medium,TCS NQT,0.599
Q02326,Data Interpretation,Mixed DI Sets,Easy,"General,Placements",0.8
Q02327,Verbal Ability,Idioms & Phrases,Easy,"SSC,Placements,CAT",0.834
Q02328,Quantitative Aptitude,Permutation & Combination,Medium,"SSC,TCS NQT,General",0.442
Q02329,Quantitative Aptitude,Set Theory,Easy,CAT,0.883
Q02330,Data Interpretation,Bar Graphs,Medium,"TCS NQT,SSC,Placements",0.581
Q02331,Verbal Ability,Critical Reasoning,Medium,"Banking,TCS NQT,CAT",0.65
Q02332,Logical Reasoning,Syllogisms,Medium,"SSC,TCS NQT",0.57
Q02333,Logical Reasoning,Data Sufficiency,Easy,CAT,0.822
Q02334,Verbal Ability,Cloze Test,Hard,Banking,0.28
Q02335,Quantitative Aptitude,Mixtures & Alligations,Hard,"General,CAT,Banking",0.25
Q02336,Logical Reasoning,Venn Diagrams,Hard,General,0.326
Q02337,Quantitative Aptitude,Progressions (AP/GP),Medium,"General,TCS NQT,Placements",0.573
Q02338,Quantitative Aptitude,Linear Equations,Easy,"SSC,TCS NQT",0.741
Q02339,Quantitative Aptitude,Surds & Indices,Easy,General,0.789
Q02340,Quantitative Aptitude,Quadratic Equations,Medium,"General,Placements,CAT",0.592
Q02341,Quantitative Aptitude,Algebra,Medium,"TCS NQT,Placements,SSC",0.547
Q02342,Data Interpretation,Radar/Spider Charts,Medium,Placements,0.572
Q02343,Quantitative Aptitude,Partnership,Medium,"Banking,CAT",0.659
Q02344,Data Interpretation,Pie Charts,Medium,Banking,0.56
Q02345,Data Interpretation,Line Graphs,Medium,"Placements,Banking",0.675
Q02346,Quantitative Aptitude,Profit & Loss,Hard,"General,TCS NQT",0.286
Q02347,Verbal Ability,Para Summary,Easy,"TCS NQT,General,Banking",0.854
Q02348,Quantitative Aptitude,Averages,Easy,"Banking,General,TCS NQT",0.725
Q02349,Logical Reasoning,Analogy,Easy,"Banking,Placements,TCS NQT",0.718
Q02350,Quantitative Aptitude,Permutation & Combination,Medium,Banking,0.529
Q02351,Logical Reasoning,Cubes & Dice,Easy,General,0.843
Q02352,Quantitative Aptitude,Permutation & Combination,Easy,"CAT,Placements,Banking",0.715
Q02353,Quantitative Aptitude,Trigonometry,Hard,General,0.341
Q02354,Verbal Ability,Synonyms & Antonyms,Medium,"SSC,CAT,Banking",0.591
Q02355,Logical Reasoning,Puzzles,Medium,SSC,0.555
Q02356,Verbal Ability,Verbal Analogies,Medium,"CAT,TCS NQT",0.529
Q02357,Logical Reasoning,Direction Sense,Easy,SSC,0.869
Q02358,Data Interpretation,Caselets,Easy,"SSC,General",0.851
Q02359,Verbal Ability,Odd One Out,Medium,Placements,0.554
Q02360,Logical Reasoning,Direction Sense,Medium,"Banking,CAT,SSC",0.601
Q02361,Verbal Ability,Critical Reasoning,Hard,Placements,0.302
Q02362,Verbal Ability,Error Spotting,Medium,"CAT,General",0.586
Q02363,Quantitative Aptitude,Probability,Medium,"CAT,General",0.508
Q02364,Quantitative Aptitude,Geometry,Hard,"TCS NQT,SSC",0.355
Q02365,Quantitative Aptitude,Progressions (AP/GP),Hard,"SSC,Banking",0.329
Q02366,Data Interpretation,Radar/Spider Charts,Medium,"TCS NQT,Placements,General",0.475
Q02367,Logical Reasoning,Cubes & Dice,Medium,"General,Banking",0.486
Q02368,Data Interpretation,Line Graphs,Medium,"SSC,CAT,Banking",0.505
Q02369,Verbal Ability,Para Summary,Medium,Banking,0.627
Q02370,Logical Reasoning,Venn Diagrams,Hard,"CAT,Banking,SSC",0.316
Q02371,Quantitative Aptitude,Set Theory,Medium,Placements,0.534
Q02372,Quantitative Aptitude,Partnership,Hard,TCS NQT,0.223
Q02373,Quantitative Aptitude,Set Theory,Hard,"SSC,TCS NQT,CAT",0.313
Q02374,Logical Reasoning,Seating Arrangement,Hard,TCS NQT,0.298
Q02375,Quantitative Aptitude,Probability,Medium,"CAT,TCS NQT,Placements",0.542
Q02376,Data Interpretation,Radar/Spider Charts,Medium,"CAT,General,Placements",0.506
Q02377,Logical Reasoning,Blood Relations,Easy,"Placements,General",0.812
Q02378,Data Interpretation,Radar/Spider Charts,Easy,TCS NQT,0.764
Q02379,Verbal Ability,Verbal Analogies,Easy,"Banking,TCS NQT",0.743
Q02380,Verbal Ability,Reading Comprehension,Easy,"CAT,SSC",0.817
Q02381,Logical Reasoning,Input-Output,Medium,Banking,0.577
Q02382,Quantitative Aptitude,Number System,Medium,"SSC,Banking,General",0.514
Q02383,Quantitative Aptitude,Profit & Loss,Medium,CAT,0.54
Q02384,Quantitative Aptitude,Probability,Medium,SSC,0.498
Q02385,Quantitative Aptitude,Compound Interest,Hard,SSC,0.294
Q02386,Verbal Ability,Para Jumbles,Easy,SSC,0.807
Q02387,Logical Reasoning,Input-Output,Medium,"Placements,CAT,SSC",0.609
Q02388,Quantitative Aptitude,Time & Work,Medium,General,0.625
Q02389,Quantitative Aptitude,Percentages,Medium,"Banking,CAT",0.643
Q02390,Quantitative Aptitude,Algebra,Easy,Banking,0.802
Q02391,Quantitative Aptitude,Algebra,Easy,"Banking,CAT",0.854
Q02392,Data Interpretation,Bar Graphs,Medium,Placements,0.521
Q02393,Logical Reasoning,Statement & Assumption,Easy,"TCS NQT,General",0.799
Q02394,Quantitative Aptitude,Quadratic Equations,Hard,SSC,0.334
Q02395,Quantitative Aptitude,Percentages,Medium,"Banking,TCS NQT",0.476
Q02396,Logical Reasoning,Input-Output,Medium,Banking,0.563
Q02397,Verbal Ability,Reading Comprehension,Easy,"General,Placements",0.761
Q02398,Quantitative Aptitude,Number System,Easy,"TCS NQT,General",0.756
Q02399,Data Interpretation,Pie Charts,Easy,TCS NQT,0.836
Q02400,Quantitative Aptitude,Set Theory,Easy,SSC,0.822
Q02401,Quantitative Aptitude,Progressions (AP/GP),Easy,"Banking,CAT",0.792
Q02402,Quantitative Aptitude,Set Theory,Medium,"Placements,General,SSC",0.504
Q02403,Quantitative Aptitude,Probability,Hard,Placements,0.307
Q02404,Logical Reasoning,Input-Output,Medium,"Banking,CAT,TCS NQT",0.594
Q02405,Logical Reasoning,Cubes & Dice,Medium,"SSC,Placements,CAT",0.607
Q02406,Data Interpretation,Bar Graphs,Easy,"SSC,TCS NQT",0.792
Q02407,Logical Reasoning,Statement & Conclusion,Easy,"Banking,SSC,Placements",0.781
Q02408,Quantitative Aptitude,Progressions (AP/GP),Hard,"SSC,CAT,Placements",0.234
Q02409,Quantitative Aptitude,Pipes & Cisterns,Medium,"TCS NQT,CAT,SSC",0.63
Q02410,Logical Reasoning,Seating Arrangement,Hard,"General,CAT",0.344
Q02411,Logical Reasoning,Direction Sense,Medium,"TCS NQT,SSC,Banking",0.547
Q02412,Verbal Ability,Sentence Correction,Medium,"TCS NQT,SSC,General",0.513
Q02413,Verbal Ability,Cloze Test,Medium,"General,Banking",0.604
Q02414,Verbal Ability,Critical Reasoning,Easy,General,0.746
Q02415,Logical Reasoning,Venn Diagrams,Medium,"Placements,Banking",0.478
Q02416,Quantitative Aptitude,Logarithms,Easy,"CAT,Placements",0.776
Q02417,Quantitative Aptitude,Set Theory,Easy,TCS NQT,0.772
Q02418,Logical Reasoning,Analogy,Easy,CAT,0.745
Q02419,Verbal Ability,Cloze Test,Easy,Banking,0.915
Q02420,Verbal Ability,Idioms & Phrases,Medium,"General,Banking,TCS NQT",0.643
Q02421,Verbal Ability,Idioms & Phrases,Easy,General,0.797
Q02422,Logical Reasoning,Seating Arrangement,Hard,"CAT,Banking,General",0.267
Q02423,Quantitative Aptitude,Linear Equations,Hard,"TCS NQT,SSC",0.276
Q02424,Quantitative Aptitude,Quadratic Equations,Medium,General,0.485
Q02425,Quantitative Aptitude,Number System,Medium,Banking,0.537
Q02426,Logical Reasoning,Data Sufficiency,Hard,Banking,0.369
Q02427,Verbal Ability,Reading Comprehension,Medium,General,0.576
Q02428,Logical Reasoning,Blood Relations,Easy,"General,SSC",0.784
Q02429,Quantitative Aptitude,"Time, Speed & Distance",Hard,TCS NQT,0.315
Q02430,Logical Reasoning,Clocks & Calendars,Medium,"Placements,General,Banking",0.532
Q02431,Data Interpretation,Mixed DI Sets,Medium,SSC,0.518
Q02432,Quantitative Aptitude,Trigonometry,Easy,"General,TCS NQT,Placements",0.803
Q02433,Verbal Ability,Reading Comprehension,Easy,General,0.789
Q02434,Verbal Ability,Para Summary,Medium,SSC,0.503
Q02435,Quantitative Aptitude,Progressions (AP/GP),Easy,"Banking,Placements,TCS NQT",0.77
Q02436,Verbal Ability,Cloze Test,Medium,"TCS NQT,General,Placements",0.575
Q02437,Logical Reasoning,Seating Arrangement,Easy,"Placements,CAT,General",0.772
Q02438,Logical Reasoning,Statement & Conclusion,Medium,"Placements,TCS NQT,SSC",0.532
Q02439,Logical Reasoning,Series Completion,Medium,"CAT,TCS NQT,SSC",0.619
Q02440,Data Interpretation,Venn-based DI,Easy,"CAT,Banking",0.733
Q02441,Logical Reasoning,Syllogisms,Easy,"Banking,General",0.871
Q02442,Data Interpretation,Caselets,Easy,General,0.839
Q02443,Data Interpretation,Venn-based DI,Easy,"Banking,SSC",0.77
Q02444,Data Interpretation,Venn-based DI,Medium,General,0.557
Q02445,Verbal Ability,Sentence Correction,Hard,SSC,0.282
Q02446,Quantitative Aptitude,Geometry,Medium,"Banking,SSC,CAT",0.587
Q02447,Logical Reasoning,Ranking & Order,Easy,SSC,0.846
Q02448,Data Interpretation,Pie Charts,Medium,"CAT,Placements,Banking",0.541
Q02449,Quantitative Aptitude,Profit & Loss,Hard,Placements,0.24
Q02450,Data Interpretation,Line Graphs,Medium,"SSC,CAT",0.553
Q02451,Verbal Ability,Cloze Test,Medium,"CAT,General,Banking",0.52
Q02452,Verbal Ability,Para Summary,Easy,TCS NQT,0.769
Q02453,Logical Reasoning,Venn Diagrams,Medium,"Placements,CAT",0.538
Q02454,Verbal Ability,Odd One Out,Hard,SSC,0.373
Q02455,Verbal Ability,Reading Comprehension,Easy,"TCS NQT,Placements",0.754
